    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   1.000E+00   0.1062   0.0160   1.553E-02   7.80411043E-02   2.69069281E-03
       1             1     0.5411   1.000E+00   0.1097   0.0158   8.886E-16   7.80412435E-02   2.69024276E-03
       2             2     0.5122   1.000E+00   0.1095   0.0158   8.169E-16   7.80413969E-02   2.69016072E-03
       3             3     0.5174   1.000E+00   0.1093   0.0158   8.860E-16   7.80415636E-02   2.69009198E-03
       4             4     0.5161   1.000E+00   0.1089   0.0158   9.220E-16   7.80417419E-02   2.69003445E-03
       5             5     0.5169   1.000E+00   0.1085   0.0158   9.992E-16   7.80419302E-02   2.68998643E-03
       6             6     0.5194   1.000E+00   0.1080   0.0157   9.021E-16   7.80421274E-02   2.68994651E-03
       7             7     0.5575   1.000E+00   0.1074   0.0157   8.335E-16   7.80423324E-02   2.68991355E-03
       8             8     0.5198   1.000E+00   0.1075   0.0157   8.953E-16   7.80425442E-02   2.68988658E-03
       9             9     0.5162   1.000E+00   0.1075   0.0157   8.721E-16   7.80427618E-02   2.68986478E-03
      10            10     0.5225   1.000E+00   0.1075   0.0157   1.200E-15   7.80429847E-02   2.68984749E-03
      11            11     0.5179   1.000E+00   0.1074   0.0157   8.977E-16   7.80432121E-02   2.68983411E-03
      12            12     0.5179   1.000E+00   0.1072   0.0156   8.669E-16   7.80434436E-02   2.68982418E-03
      13            13     0.5236   1.000E+00   0.1069   0.0156   8.355E-16   7.80436787E-02   2.68981729E-03
      14            14     0.5187   1.000E+00   0.1066   0.0156   8.413E-16   7.80439171E-02   2.68981307E-03
      15            15     0.5179   1.000E+00   0.1063   0.0155   8.184E-16   7.80441585E-02   2.68981125E-03
      16            16     0.5188   1.000E+00   0.1058   0.0155   8.791E-16   7.80444027E-02   2.68981156E-03
      17            17     0.5626   1.000E+00   0.1060   0.0154   8.433E-16   7.80446494E-02   2.68981379E-03
      18            18     0.5200   1.000E+00   0.1062   0.0154   8.483E-16   7.80448983E-02   2.68981775E-03
      19            19     0.5239   1.000E+00   0.1064   0.0153   8.697E-16   7.80451491E-02   2.68982327E-03
      20            20     0.5171   1.000E+00   0.1064   0.0153   8.700E-16   7.80454017E-02   2.68983020E-03
      21            21     0.5213   1.000E+00   0.1064   0.0153   8.717E-16   7.80456557E-02   2.68983843E-03
      22            22     0.5260   1.000E+00   0.1064   0.0153   8.999E-16   7.80459111E-02   2.68984783E-03
      23            23     0.5189   1.000E+00   0.1063   0.0153   7.772E-16   7.80461678E-02   2.68985831E-03
      24            24     0.5223   1.000E+00   0.1061   0.0152   8.756E-16   7.80464256E-02   2.68986978E-03
      25            25     0.5283   1.000E+00   0.1058   0.0153   9.203E-16   7.80466844E-02   2.68988219E-03
      26            26     0.5652   1.000E+00   0.1055   0.0153   8.474E-16   7.80469442E-02   2.68989545E-03
      27            27     0.5171   1.000E+00   0.1052   0.0153   9.346E-16   7.80472047E-02   2.68990951E-03
      28            28     0.5273   1.000E+00   0.1052   0.0153   7.680E-16   7.80474660E-02   2.68992430E-03
