    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   1.000E+00   0.1062   0.0160   1.553E-02   7.80411043E-02   2.69069281E-03
       1             1     0.0173   1.000E+00   0.1097   0.0156   7.971E-16   7.80414743E-02   2.69013025E-03
       2             2     0.0060   1.000E+00   0.1095   0.0154   8.461E-16   7.80418569E-02   2.68994313E-03
       3             3     0.0060   1.000E+00   0.1092   0.0153   8.507E-16   7.80422504E-02   2.68977554E-03
       4             4     0.0061   1.000E+00   0.1088   0.0151   1.088E-15   7.80426533E-02   2.68962446E-03
       5             5     0.0060   1.000E+00   0.1084   0.0149   9.125E-16   7.80430642E-02   2.68948745E-03
       6             6     0.0061   1.000E+00   0.1079   0.0148   8.158E-16   7.80434819E-02   2.68936256E-03
       7             7     0.0060   1.000E+00   0.1073   0.0146   9.060E-16   7.80439055E-02   2.68924814E-03
       8             8     0.0059   1.000E+00   0.1069   0.0145   9.297E-16   7.80443341E-02   2.68914287E-03
       9             9     0.0060   1.000E+00   0.1068   0.0143   9.378E-16   7.80447668E-02   2.68904562E-03
      10            10     0.0060   1.000E+00   0.1067   0.0142   8.992E-16   7.80452031E-02   2.68895545E-03
      11            11     0.0059   1.000E+00   0.1066   0.0140   9.170E-16   7.80456424E-02   2.68887159E-03
      12            12     0.0060   1.000E+00   0.1064   0.0139   8.367E-16   7.80460841E-02   2.68879334E-03
      13            13     0.0060   1.000E+00   0.1061   0.0137   7.557E-16   7.80465278E-02   2.68872014E-03
      14            14     0.0059   1.000E+00   0.1059   0.0136   1.007E-15   7.80469732E-02   2.68865149E-03
      15            15     0.0059   1.000E+00   0.1058   0.0135   9.112E-16   7.80474198E-02   2.68858698E-03
      16            16     0.0060   1.000E+00   0.1055   0.0133   8.628E-16   7.80478675E-02   2.68852624E-03
      17            17     0.0059   1.000E+00   0.1053   0.0132   7.888E-16   7.80483159E-02   2.68846894E-03
      18            18     0.0059   1.000E+00   0.1051   0.0130   9.372E-16   7.80487648E-02   2.68841481E-03
      19            19     0.0059   1.000E+00   0.1052   0.0129   8.522E-16   7.80492141E-02   2.68836361E-03
      20            20     0.0059   1.000E+00   0.1053   0.0128   9.652E-16   7.80496635E-02   2.68831511E-03
      21            21     0.0059   1.000E+00   0.1052   0.0126   7.598E-16   7.80501130E-02   2.68826914E-03
      22            22     0.0059   1.000E+00   0.1051   0.0125   7.923E-16   7.80505623E-02   2.68822552E-03
      23            23     0.0058   1.000E+00   0.1050   0.0124   8.600E-16   7.80510114E-02   2.68818410E-03
      24            24     0.0059   1.000E+00   0.1048   0.0123   8.458E-16   7.80514602E-02   2.68814475E-03
      25            25     0.0058   1.000E+00   0.1046   0.0122   8.335E-16   7.80519085E-02   2.68810734E-03
      26            26     0.0058   1.000E+00   0.1043   0.0121   8.478E-16   7.80523563E-02   2.68807176E-03
      27            27     0.0058   1.000E+00   0.1044   0.0120   8.477E-16   7.80528036E-02   2.68803792E-03
      28            28     0.0058   1.000E+00   0.1044   0.0119   8.944E-16   7.80532503E-02   2.68800572E-03
      29            29     0.0057   1.000E+00   0.1044   0.0118   8.422E-16   7.80536963E-02   2.68797507E-03
      30            30     0.0058   1.000E+00   0.1044   0.0117   8.542E-16   7.80541415E-02   2.68794589E-03
