    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0006   6.000E+01   0.0000   0.0540   0.000E+00   0.00000000E+00   0.00000000E+00
      50       2246.63     2.0998   3.538E+01   1.2000   0.0318   2.332E-15   8.11021635E-06   6.86189011E-02
     100       3689.18     1.8508   2.850E+01   1.2000   0.0257   1.821E-15  -2.91351043E-05   1.16551145E-01
     150       4959.25     1.7318   2.495E+01   1.2000   0.0225   1.787E-15  -1.13950713E-05   1.57349900E-01
     200       6165.52     1.7575   2.237E+01   1.2000   0.0201   1.454E-15  -2.53233249E-04   1.88771444E-01
     250        7308.6     1.7548   2.235E+01   1.2000   0.0201   1.606E-15  -7.53005723E-05   2.20289701E-01
     300          8400     1.6377   2.118E+01   1.2000   0.0191   3.764E-16  -2.87122969E-04   2.48865996E-01
     350       9471.24     1.7682   2.242E+01   1.2000   0.0202   1.955E-15  -3.47691015E-04   2.80328061E-01
     400       10438.7     1.6500   2.145E+01   1.2000   0.0193   1.551E-15  -3.30867857E-04   3.14316328E-01
     419         10800     0.6313   1.661E+01   1.2000   0.0149   9.775E-16  -2.00884866E-04   3.32612077E-01
