    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   6.000E+01   0.0000   0.0004   0.000E+00   0.00000000E+00   0.00000000E+00
      50       2177.38     1.0369   2.754E+01   0.7641   0.3000   1.783E-15   2.19235349E-05   4.56459711E-02
     100       3552.42     0.8234   2.509E+01   0.8008   0.3000   1.594E-15   2.74690613E-04   6.78444251E-02
     150       4770.35     0.8430   2.393E+01   0.8286   0.3000   1.533E-15   3.31463303E-04   9.43370448E-02
     200       5828.44     0.8430   2.202E+01   0.7252   0.3000   1.411E-15   4.39447313E-04   1.13929291E-01
     250       6875.79     0.7805   2.191E+01   0.8435   0.3000   1.327E-15   4.64578026E-04   1.33013337E-01
     300       7912.68     0.8381   2.086E+01   0.8409   0.3000   1.475E-15   9.60033504E-04   1.70383588E-01
     350       8994.62     0.7800   5.378E+00   0.2114   0.0728   2.460E-15   1.63978322E-03   1.84242643E-01
     400         10007     0.8377   1.983E+01   1.0150   0.3000   1.769E-15   2.18380555E-03   2.14540682E-01
     443         10800     0.6573   1.662E+01   0.6565   0.3000   3.747E-16   1.81196790E-03   2.02854427E-01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   6.000E+01   0.0000   0.0540   0.000E+00   0.00000000E+00   0.00000000E+00
      50       1541.09     1.4875   1.911E+01   1.2000   0.0172   1.211E-15   1.17822944E-04   2.21104205E-01
     100       2473.94     1.2690   1.566E+01   1.2000   0.0141   1.138E-15   2.68980003E-04   3.74278598E-01
     150          3300     1.1540   1.576E+01   1.2000   0.0142   8.188E-16   1.29668230E-04   5.04014807E-01
     200       4073.17     1.2668   1.629E+01   1.2000   0.0147   1.335E-15   1.46990633E-04   6.17887615E-01
     250       4797.77     1.1560   2.228E+00   0.1904   0.0020   1.627E-15   1.64458505E-04   7.15046973E-01
     300       5486.63     1.2675   1.349E+01   1.2000   0.0121   1.237E-15   2.80701694E-04   7.97362716E-01
     350        6166.6     1.1567   1.403E+01   1.2000   0.0126   1.738E-15   3.62662175E-04   9.05149395E-01
     400       6830.39     1.1554   1.234E+01   1.2000   0.0111   1.425E-15   3.00636606E-04   9.12509476E-01
     450       7472.31     1.1750   1.292E+01   1.2000   0.0116   1.505E-15   5.70430673E-04   1.00323403E+00
     500          8100     1.1558   1.301E+01   1.2000   0.0117   8.257E-16   8.74840584E-04   1.06329428E+00
     550       8714.54     1.2512   1.391E+01   1.2000   0.0125   1.499E-15   8.21340450E-04   1.13304308E+00
     600       9340.02     1.1806   1.291E+01   1.2000   0.0116   1.457E-15   1.03812769E-03   1.15010433E+00
     650       9948.54     1.1578   9.615E+00   1.2000   0.0087   1.176E-15   1.28841330E-03   1.19422560E+00
     700       10538.6     1.1549   1.329E+01   1.2000   0.0120   1.395E-15   1.39777846E-03   1.30198033E+00
     721         10800     0.4350   1.275E+01   1.2000   0.0115   1.499E-15   1.85197021E-03   1.33300990E+00
