    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0003   6.000E+01   0.0000   0.0004   0.000E+00   0.00000000E+00   0.00000000E+00
      50       2177.38     1.0369   2.754E+01   0.7641   0.3000   1.783E-15   2.19235349E-05   4.56459711E-02
     100       3552.42     0.8234   2.509E+01   0.8008   0.3000   1.594E-15   2.74690613E-04   6.78444251E-02
     150       4770.35     0.8430   2.393E+01   0.8286   0.3000   1.533E-15   3.31463303E-04   9.43370448E-02
     200       5828.44     0.8430   2.202E+01   0.7252   0.3000   1.411E-15   4.39447313E-04   1.13929291E-01
     250       6875.79     0.7805   2.191E+01   0.8435   0.3000   1.327E-15   4.64578026E-04   1.33013337E-01
     300       7912.68     0.8381   2.086E+01   0.8409   0.3000   1.475E-15   9.60033504E-04   1.70383588E-01
     350       8994.62     0.7800   5.378E+00   0.2114   0.0728   2.460E-15   1.63978322E-03   1.84242643E-01
     400         10007     0.8377   1.983E+01   1.0150   0.3000   1.769E-15   2.18380555E-03   2.14540682E-01
     443         10800     0.6573   1.662E+01   0.6565   0.3000   3.747E-16   1.81196790E-03   2.02854427E-01
